Node_ID,Nama Fasilitas,Jenis,Type,Lat,Lon,Demand_Ton,Kecamatan_ID,Cost_Gerobak
165,BIZ PARK,TPST/TPS 3R,TPS,-6.9513447,107.5861091,5.22,21,477834
166,POOL KECAMATAN 22,POOL,POOL,-6.919380736363635,107.60747813636364,0.0,22,0
167,TPS 3R Kebon Jeruk,TPST/TPS 3R,TPS,-6.9186372,107.6009398,5.5,22,458307
168,THE NARIPAN HOTEL,TPST/TPS 3R,TPS,-6.9196594,107.6117445,5.5,22,498755
169,POJOK KANG PISMAN PENDOPO WALIKOTA BANDUNG,TPST/TPS 3R,TPS,-6.9223764,107.6091745,5.5,22,525513
170,PASAR BARU,TPST/TPS 3R,TPS,-6.9175342,107.6045391,5.5,22,464425
171,Klinik Utama Bandung Eye Center (Sumatera),TPST/TPS 3R,TPS,-6.9169177,107.6138175,5.5,22,491092
172,Grand Yogya Kepatihan,TPST/TPS 3R,TPS,-6.9236488,107.605747,5.5,22,524537
173,Golden Flower Hotel,TPST/TPS 3R,TPS,-6.9206495,107.6047258,5.5,22,421083
174,Hotel De Braga by Artotel,TPST/TPS 3R,TPS,-6.92035139999999,107.6100873,5.5,22,521087
175,Hotelél Hotel Bandung,TPST/TPS 3R,TPS,-6.9162005,107.6106178,5.5,22,463561
176,HOTEL GINO FERUCI BRAGA,TPST/TPS 3R,TPS,-6.91787179999999,107.6090829,5.5,22,454674
177,TPS 3 R Ence Azis,TPST/TPS 3R,TPS,-6.9193412,107.6017833,5.5,22,423796
178,POOL KECAMATAN 23,POOL,POOL,-6.8897531,107.5598704,0.0,23,0
179,JL. BUDHI,TPST/TPS 3R,TPS,-6.8897531,107.5598704,5.5,23,458858
180,POOL KECAMATAN 24,POOL,POOL,-6.915359774999997,107.658182125,0.0,24,0
181,TPS 3R Subang,TPST/TPS 3R,TPS,-6.9144033,107.655008,5.5,24,530548
182,TPS 3R Cibatu,TPST/TPS 3R,TPS,-6.9163342,107.6648102,3.66,24,309760
183,TPS 3R Indramayu,TPST/TPS 3R,TPS,-6.9178251,107.6577412,5.5,24,514296
184,TPS 3R BINEKAS ANTAPANI TENGAH,TPST/TPS 3R,TPS,-6.91287649999999,107.6551691,4.58,24,356593
185,POOL KECAMATAN 25,POOL,POOL,-6.9413374999999995,107.5502353,0.0,25,0
186,Transporter PT. Exiss Oseana Global,TPST/TPS 3R,TPS,-6.9478578,107.5495643,5.34,25,417331
